player,age,current_club,current_league,foot,height,nationality,position,games12,games13,games14,games15,games16,games17,goals12,goals13,goals14,goals15,goals16,goals17,minutes12,minutes13,minutes14,minutes15,minutes16,minutes17,assists12,assists13,assists14,assists15,assists16,assists17
Dante Vanzeir,19,KRC Genk,BEL - Jupiler Pro League,right,175,Belgium,W,,,,,2,6,,,,,0,1,,,,,26,191,,,,,0,0
Thomas Buffel,37,KRC Genk,BEL - Jupiler Pro League,both,175,Belgium,W,55,46,35,44,50,31,7,7,6,10,7,4,4621,3567,2966,3527,3276,1980,17,9,6,10,8,3
Marcus Ingvartsen,22,KRC Genk,BEL - Jupiler Pro League,left,187,Denmark,CF,0,5,14,24,36,27,0,1,2,5,23,7,0,247,547,1295,3184,1734,0,0,0,2,4,0
Mbwana Samatta,25,KRC Genk,BEL - Jupiler Pro League,both,180,Tanzania,CF,4,10,13,20,59,23,2,3,8,5,21,4,360,811,1050,1085,4115,1413,1,2,2,3,6,3
Moses Simon,22,KAA Gent,BEL - Jupiler Pro League,both,168,Nigeria,W,,14,44,41,42,24,,7,17,3,5,5,,1137,3498,2339,2843,1938,,3,11,4,7,2
Aboubakary Koita,19,KAA Gent II,BEL - Jupiler Pro League,right,175,Belgium  Senegal,W,,,,2,32,0,,,,0,5,0,,,,18,2313,0,,,,0,0,0
Samuel Kalu,20,KAA Gent,BEL - Jupiler Pro League,right,176,Nigeria,W,,,,17,46,28,,,,4,7,6,,,,1153,3652,1882,,,,2,14,8
Yuya Kubo,24,KAA Gent,BEL - Jupiler Pro League,right,178,Japan,CF,16,38,39,36,42,35,7,9,7,11,23,7,631,1344,1952,2579,3192,2374,0,5,3,5,4,2
Mamadou Sylla,23,KAA Gent,BEL - Jupiler Pro League,right,184,Senegal  Spain,CF,1,33,41,17,39,30,0,6,12,1,13,2,23,2327,2760,388,3235,1672,0,0,2,0,11,4
Roman Yaremchuk,22,KAA Gent,BEL - Jupiler Pro League,right,191,Ukraine,CF,,19,23,1,27,25,,3,4,0,6,9,,909,1920,45,1580,1491,,1,1,0,2,2
Rangelo Janga,25,KAA Gent,BEL - Jupiler Pro League,right,192,Curacao  Netherlands,CF,27,17,,37,40,27,4,1,,24,17,20,1257,588,,3101,3293,1787,1,0,,2,4,5
Edmílson Junior,23,Standard Liège,BEL - Jupiler Pro League,right,180,Brazil  Belgium,W,29,21,24,35,39,26,2,1,2,9,7,4,1378,814,1523,2881,2728,1876,0,1,0,6,6,2
Paul-José Mpoku,25,Standard Liège,BEL - Jupiler Pro League,right,174,DR Congo  Belgium,W,31,49,43,20,36,32,9,12,10,0,4,5,2228,3442,3348,753,2031,2529,8,9,8,0,4,6
Moussa Djenepo,19,Standard Liège,BEL - Jupiler Pro League,,,Mali,W,,,,,,14,,,,,,1,,,,,,134,,,,,,1
Mehdi Carcela-González,28,Standard Liège,BEL - Jupiler Pro League,left,179,Morocco  Belgium,W,36,33,23,29,24,23,2,3,3,3,5,3,1853,1954,1772,1342,1774,1553,7,3,2,7,1,4
Duje Cop,28,Standard Liège,BEL - Jupiler Pro League,right,186,Croatia,CF,31,50,43,32,31,22,11,32,19,7,9,4,2062,3610,2631,2064,2281,1106,4,8,4,3,3,2
Renaud Emond,26,Standard Liège,BEL - Jupiler Pro League,right,186,Belgium,CF,,16,34,31,16,23,,3,14,4,3,9,,533,2553,1426,557,1135,,0,1,1,1,3
Hassane Bandé,19,KV Mechelen,BEL - Jupiler Pro League,right,178,Burkina Faso,W,,,,,,27,,,,,,12,,,,,,2136,,,,,,2
Clément Tainmont,32,KV Mechelen,BEL - Jupiler Pro League,left,185,France,W,35,27,40,29,33,19,6,5,8,1,1,3,2666,2118,3066,1512,2005,1289,7,2,6,9,8,2
Andy Kawaya,21,KV Mechelen,BEL - Jupiler Pro League,left,174,Belgium  DR Congo,W,,11,17,17,,13,,4,1,0,,0,,925,793,651,,481,,1,10,0,,0
Abou Ouattara,18,KV Mechelen,BEL - Jupiler Pro League,,,Burkina Faso,W,,,,,,1,,,,,,0,,,,,,11,,,,,,0
Fatos Beqiraj,29,KV Mechelen,BEL - Jupiler Pro League,right,188,Montenegro  Kosovo,CF,37,48,27,28,33,22,6,13,13,8,10,2,2283,2953,2351,2339,2024,1159,6,8,8,3,5,2
Nicolas Verdier,31,KV Mechelen,BEL - Jupiler Pro League,left,187,France,CF,25,35,33,35,37,24,5,10,3,10,9,2,1215,2376,1355,2592,2532,1019,1,0,3,5,3,1
Nicklas Pedersen,30,KV Mechelen,BEL - Jupiler Pro League,right,188,Denmark,CF,27,32,10,13,15,27,13,6,4,1,1,5,2009,1851,423,323,218,1238,2,3,1,0,1,0
Knowledge Musona,27,KV Oostende,BEL - Jupiler Pro League,both,177,Zimbabwe,W,17,29,15,36,33,24,1,15,5,13,13,8,964,2109,1082,2583,2677,2058,1,2,1,6,5,6
Ibrahima Conté,26,KV Oostende,BEL - Jupiler Pro League,left,177,Guinea  Belgium,W,38,53,45,10,17,11,5,3,4,0,1,1,2420,3856,2929,485,878,178,3,8,6,2,0,0
Nicolas Rajsel,24,KV Oostende,BEL - Jupiler Pro League,right,178,Slovenia  France,W,,12,3,31,31,1,,1,0,12,13,0,,705,76,2529,2496,8,,0,0,0,7,0
Richairo Zivkovic,21,KV Oostende,BEL - Jupiler Pro League,right,187,Netherlands  Serbia,CF,26,43,35,33,40,24,3,14,20,10,15,4,1427,2344,2279,2233,2539,1265,0,0,2,3,4,2
Zinho Gano,24,KV Oostende,BEL - Jupiler Pro League,right,198,Belgium  Guinea-Bissau,CF,2,19,18,36,37,29,1,7,5,10,12,13,170,1452,687,3013,3082,2011,0,0,0,1,5,3
Joseph Akpala,31,KV Oostende,BEL - Jupiler Pro League,right,184,Nigeria  Belgium,CF,26,14,33,36,21,31,1,6,5,7,4,6,620,1002,2141,1978,555,1357,3,0,5,1,2,2
Theo Bongonda,22,SV Zulte Waregem,BEL - Jupiler Pro League,left,177,Belgium,W,,24,28,26,42,10,,2,4,2,2,2,,1224,1080,1308,2898,390,,3,2,2,6,3
Nill De Pauw,28,SV Zulte Waregem,BEL - Jupiler Pro League,right,180,Belgium  DR Congo,W,32,46,47,15,35,33,5,8,8,0,6,7,2001,3394,3634,537,1270,2192,6,9,6,0,2,4
Alessandro Cordaro,31,SV Zulte Waregem,BEL - Jupiler Pro League,both,169,Belgium  Italy,W,36,35,28,25,31,12,2,2,4,1,4,0,3166,2973,1932,1473,2310,452,12,11,2,3,4,1
Aaron Leya Iseka,20,SV Zulte Waregem,BEL - Jupiler Pro League,right,182,Belgium  DR Congo,CF,,12,23,5,9,31,,8,9,0,0,9,,1019,909,111,332,1906,,0,2,0,2,1
Peter Olayinka,22,SV Zulte Waregem,BEL - Jupiler Pro League,both,188,Nigeria,CF,14,,17,27,32,29,0,,9,10,7,8,593,,1346,2245,2248,2448,0,,0,7,3,9
Ivan Saponjic,20,SV Zulte Waregem,BEL - Jupiler Pro League,right,192,Serbia,CF,,1,16,44,21,29,,0,5,11,3,6,,13,776,2133,936,999,,0,2,0,0,2
Hamdi Harbaoui,33,SV Zulte Waregem,BEL - Jupiler Pro League,right,186,Tunisia  Belgium,CF,42,43,26,20,25,21,15,24,22,12,6,9,3655,3130,2308,1744,1470,1286,13,1,0,0,1,1
Ivo Rodrigues,22,Royal Antwerp FC,BEL - Jupiler Pro League,right,180,Portugal,W,0,38,27,34,29,20,0,2,12,5,1,3,0,1914,2050,2549,1805,1307,0,3,4,6,3,2
Jonathan Pitroipa,31,Royal Antwerp FC,BEL - Jupiler Pro League,right,176,Burkina Faso,W,36,26,26,36,12,7,8,0,9,8,6,0,3177,1668,2182,3080,857,384,7,4,11,14,2,0
Romain Habran,23,Royal Antwerp FC,BEL - Jupiler Pro League,right,178,France,W,,,24,29,13,2,,,2,0,1,0,,,1273,1370,950,47,,,1,5,0,0
Stallone Limbombe,26,Royal Antwerp FC,BEL - Jupiler Pro League,,169,Belgium  DR Congo,W,,1,19,30,22,21,,0,3,5,2,6,,90,791,2300,912,1490,,0,0,3,4,2
Obbi Oulare,22,Royal Antwerp FC,BEL - Jupiler Pro League,right,196,Belgium  Guinea,CF,,,30,12,22,16,,,7,2,4,3,,,1090,399,1007,973,,,4,0,3,1
Joaquín Ardaiz,19,Royal Antwerp FC,BEL - Jupiler Pro League,left,183,Uruguay,CF,,,,11,19,15,,,,1,3,3,,,,293,929,782,,,,0,2,2
William Owusu Acheampong,28,Royal Antwerp FC,BEL - Jupiler Pro League,right,188,Ghana  Portugal,CF,34,,35,22,21,25,13,,12,6,8,8,2469,,3150,1593,1666,1714,2,,0,0,1,3
Björn Vleminckx,32,Royal Antwerp FC,BEL - Jupiler Pro League,right,183,Belgium,CF,31,22,22,26,19,0,14,4,3,4,5,0,2155,1583,1039,1593,1056,0,0,0,2,2,1,0
Kafoumba Touré,24,Royal Antwerp FC,BEL - Jupiler Pro League,right,183,Mali  Cote d'Ivoire,CF,,,19,14,1,2,,,6,5,0,0,,,1471,1088,90,65,,,1,0,0,0
Roberto Núñez,22,Royal Antwerp FC,BEL - Jupiler Pro League,right,182,Spain,CF,,6,7,7,1,2,,3,3,9,1,0,,341,601,654,31,59,,0,0,1,0,0
Amara Baby,29,RSC Charleroi,BEL - Jupiler Pro League,right,183,Senegal  France,W,33,25,26,37,35,24,1,6,6,8,5,4,2876,1734,1786,2346,2239,1854,1,2,4,3,1,3
Mamadou Fall,26,RSC Charleroi,BEL - Jupiler Pro League,right,184,Senegal,W,,28,31,31,34,20,,5,9,11,4,5,,2060,2307,2686,2207,1073,,0,0,5,4,2
Romain Grange,29,RSC Charleroi,BEL - Jupiler Pro League,right,177,France,W,23,13,25,31,36,24,2,0,4,6,4,5,1113,586,1315,2235,2564,1648,2,1,0,1,5,6
Jordan Remacle,31,RSC Charleroi,BEL - Jupiler Pro League,right,175,Belgium,W,36,20,35,30,20,2,4,4,3,3,2,0,2610,1316,1503,2465,1100,23,10,8,3,8,2,0
Kaveh Rezaei,25,RSC Charleroi,BEL - Jupiler Pro League,right,185,Iran,CF,33,25,22,34,40,31,5,6,7,8,13,12,1891,2119,1685,2557,3624,2533,1,2,6,6,13,6
Chris Bedia,22,RSC Charleroi,BEL - Jupiler Pro League,,190,Cote d'Ivoire  France,CF,,,9,11,38,23,,,1,4,6,2,,,135,664,1992,884,,,0,1,3,1
David Pollet,29,RSC Charleroi,BEL - Jupiler Pro League,left,188,Belgium  France,CF,34,35,22,39,34,20,10,13,2,6,8,2,2409,2167,686,2115,2307,827,1,3,0,4,2,1
Igor Vetokele,25,Sint-Truidense VV,BEL - Jupiler Pro League,right,173,Angola  Belgium,W,23,35,43,18,34,21,5,15,11,2,9,5,994,2580,3257,1105,1990,1224,2,2,9,1,6,0
Cristian Ceballos,25,Sint-Truidense VV,BEL - Jupiler Pro League,left,173,Spain,W,22,24,6,7,33,2,11,2,2,0,6,2,1854,1635,484,300,1987,140,7,3,0,0,5,0
Elton Acolatse,22,Sint-Truidense VV,BEL - Jupiler Pro League,right,182,Netherlands  Ghana,W,6,23,36,26,29,6,0,2,5,1,6,0,434,1662,2016,1549,2046,171,0,2,6,4,3,0
Jonathan Legear,30,Sint-Truidense VV,BEL - Jupiler Pro League,right,179,Belgium,W,8,9,3,15,16,23,1,0,1,2,1,3,321,523,63,626,590,1384,1,1,0,1,3,6
Jordan Botaka,24,Sint-Truidense VV,BEL - Jupiler Pro League,right,184,DR Congo  Netherlands,W,,43,38,19,29,28,,10,2,0,2,2,,3306,2714,749,1091,1756,,4,7,1,2,2
Yohan Boli,24,Sint-Truidense VV,BEL - Jupiler Pro League,,181,Cote d'Ivoire  France,CF,,18,,16,27,29,,2,,5,7,6,,783,,742,1666,1762,,0,,0,2,2
Chuba Akpom,22,Sint-Truidense VV,BEL - Jupiler Pro League,right,186,England  Nigeria,CF,20,29,25,41,15,14,13,11,9,7,3,3,1670,2032,1457,2152,563,1000,2,4,2,1,2,1
Babacar Gueye,23,Sint-Truidense VV,BEL - Jupiler Pro League,right,190,Senegal,CF,,,3,11,19,10,,,0,1,3,0,,,98,738,628,449,,,0,2,2,1
Kurt Abrahams,21,Sint-Truidense VV,BEL - Jupiler Pro League,,,South Africa,CF,,,,,7,8,,,,,3,0,,,,,178,170,,,,,1,0
Nana Opoku Ampomah,22,Waasland-Beveren,BEL - Jupiler Pro League,,175,Ghana,W,,,,,20,32,,,,,2,8,,,,,510,2472,,,,,1,3
Aleksandar Boljevic,22,Waasland-Beveren,BEL - Jupiler Pro League,both,186,Montenegro,W,8,27,31,25,32,30,0,5,5,5,1,2,656,1992,1981,1902,1679,1946,2,1,1,4,6,4
Tuur Dierckx,22,Waasland-Beveren,BEL - Jupiler Pro League,both,171,Belgium,W,2,7,39,34,27,23,1,0,6,5,6,3,154,90,699,1061,1779,799,0,0,2,3,6,2
Floriano Vanzo,23,Waasland-Beveren,BEL - Jupiler Pro League,right,180,Belgium  Italy,W,12,5,6,35,14,1,0,0,0,2,0,1,763,322,376,1778,835,26,0,1,0,3,0,0
Olivier Myny,23,Waasland-Beveren,BEL - Jupiler Pro League,,178,Belgium,W,,,29,34,28,21,,,11,3,4,2,,,2197,2072,1688,681,,,0,3,3,0
Isaac Thelin,25,Waasland-Beveren,BEL - Jupiler Pro League,right,189,Sweden  DR Congo,CF,37,28,27,12,31,31,10,8,3,1,4,16,2326,1854,1947,672,1011,2432,6,3,5,0,3,5
Ryan Mmaee,20,Waasland-Beveren,BEL - Jupiler Pro League,,183,Belgium  Morocco,CF,,,,5,7,18,,,,0,1,1,,,,226,417,663,,,,1,1,5
Cherif Ndiaye,22,Waasland-Beveren,BEL - Jupiler Pro League,,188,Senegal,CF,,,,,4,4,,,,,0,0,,,,,67,51,,,,,0,0
Steve De Ridder,31,KSC Lokeren,BEL - Jupiler Pro League,right,178,Belgium,W,13,36,36,39,34,29,0,12,3,5,4,7,635,2977,2169,2928,2496,2438,1,6,3,4,6,4
Bob Straetman,20,KSC Lokeren,BEL - Jupiler Pro League,,,Belgium,W,,,,,26,8,,,,,2,1,,,,,1190,292,,,,,1,1
Mohamed Ofkir,21,KSC Lokeren,BEL - Jupiler Pro League,,178,Norway,W,,,12,26,9,,,,0,4,0,,,,868,1488,402,,,,2,5,1,
Guus Hupperts,25,KSC Lokeren,BEL - Jupiler Pro League,right,176,Netherlands,W,38,38,34,41,27,18,4,13,5,2,3,2,2613,2961,1829,2068,2061,1117,3,6,3,5,5,3
Marko Miric,30,KSC Lokeren,BEL - Jupiler Pro League,right,193,Serbia,W,16,24,30,34,31,16,0,5,11,5,5,4,887,1445,2055,2535,1715,842,0,3,5,5,3,1
Yusuf Lawal,19,KSC Lokeren,BEL - Jupiler Pro League,right,175,Nigeria,W,,,,,,0,,,,,,0,,,,,,0,,,,,,0
Tom De Sutter,32,KSC Lokeren,BEL - Jupiler Pro League,right,192,Belgium,CF,42,37,44,25,35,28,16,13,17,3,10,2,2780,2623,2661,1061,2310,1308,5,4,6,0,4,4
Jean Alassane Mendy,28,KSC Lokeren,BEL - Jupiler Pro League,right,180,Norway,CF,24,32,27,28,27,2,11,20,7,7,11,0,1839,2444,1311,1965,1709,22,2,4,3,2,1,0
Lewis Enoh,25,KSC Lokeren,BEL - Jupiler Pro League,right,189,Cameroon  Portugal,CF,,16,33,19,11,13,,0,12,2,1,0,,616,2062,1042,435,419,,0,1,0,0,0
Idir Ouali,29,KV Kortrijk,BEL - Jupiler Pro League,right,176,Algeria  France,W,36,32,7,14,35,25,6,3,0,0,3,7,2859,2657,331,670,2593,1939,5,7,0,0,6,8
Teddy Chevalier,30,KV Kortrijk,BEL - Jupiler Pro League,right,178,France,CF,31,26,39,30,22,34,11,7,12,4,4,16,2535,1394,3220,1420,1542,2797,4,5,13,2,2,6
Jérémy Perbet,33,KV Kortrijk,BEL - Jupiler Pro League,right,184,France,CF,41,30,27,35,43,28,26,11,5,25,16,10,2828,1585,1047,2964,2200,1799,6,3,0,1,3,1
Athanasios Papazoglou,29,KV Kortrijk,BEL - Jupiler Pro League,right,195,Greece,CF,27,38,29,39,37,7,9,11,4,9,4,0,2425,3226,1972,2813,1948,101,4,6,3,4,3,0
Fabrice Olinga,21,Royal Excel Mouscron,BEL - Jupiler Pro League,right,176,Cameroon,W,6,15,3,7,18,23,1,0,0,0,0,1,230,784,97,210,624,1346,0,0,0,1,0,6
Dorin Rotariu,22,Royal Excel Mouscron,BEL - Jupiler Pro League,left,180,Romania,W,12,35,35,40,37,24,2,9,4,10,8,8,579,2131,1767,3225,2320,1642,0,6,8,5,5,3
Jonathan Bolingi,23,Royal Excel Mouscron,BEL - Jupiler Pro League,right,188,DR Congo,CF,,3,6,6,6,27,,2,0,1,0,7,,147,114,471,256,2098,,0,0,1,0,2
Taiwo Awoniyi,20,Royal Excel Mouscron,BEL - Jupiler Pro League,right,178,Nigeria,CF,,2,,14,28,29,,1,,1,8,8,,180,,921,1672,2276,,2,,1,2,6
Mario Jelavic,24,Royal Excel Mouscron,BEL - Jupiler Pro League,left,189,Croatia,CF,8,,31,1,31,16,0,,14,0,13,0,262,,1228,10,2398,750,0,,0,0,0,0
Yanis Mbombo,23,Royal Excel Mouscron,BEL - Jupiler Pro League,right,180,Belgium  DR Congo,CF,,3,17,24,11,8,,1,6,3,2,0,,112,914,1342,543,205,,0,1,0,0,0
Clément Petit,20,Royal Excel Mouscron,BEL - Jupiler Pro League,left,188,Belgium,CF,,,,3,,2,,,,1,,0,,,,69,,73,,,,0,,0
Eric Ocansey,20,KAS Eupen,BEL - Jupiler Pro League,left,173,Ghana,W,,,,23,26,29,,,,3,5,6,,,,1969,2062,2436,,,,0,6,2
Florian Raspentino,28,KAS Eupen,BEL - Jupiler Pro League,right,179,France,CF,36,24,32,13,9,9,4,6,4,1,0,2,1940,1420,2070,662,274,442,1,3,4,0,0,0
Mbaye Leye,35,KAS Eupen,BEL - Jupiler Pro League,right,183,Senegal,CF,39,14,42,40,46,25,18,1,8,20,18,10,3210,911,2779,3550,4025,2180,8,1,2,4,6,4
Mamadou Koné,26,KAS Eupen,BEL - Jupiler Pro League,right,176,Cote d'Ivoire,CF,42,41,15,35,5,10,6,22,7,6,0,3,2065,2950,1176,2104,169,874,6,0,1,3,0,0
Moussa Diallo,27,KAS Eupen,BEL - Jupiler Pro League,right,183,Belgium  Senegal,CF,,,,1,,8,,,,1,,0,,,,90,,164,,,,0,,0
Damien Mouchamps,22,KAS Eupen,BEL - Jupiler Pro League,,172,Belgium,CF,,,2,0,6,2,,,0,0,1,0,,,10,0,147,35,,,0,0,1,0
Yacine Brahimi,28,FC Porto,PRT - Liga NOS,right,175,Algeria  France,W,28,36,42,44,31,39,0,3,13,9,7,10,1916,2858,2835,3245,1927,2986,2,3,10,10,4,10
Jesús Corona,25,FC Porto,PRT - Liga NOS,both,173,Mexico,W,38,19,33,39,41,35,5,2,13,8,6,2,1874,581,2721,2541,2219,1862,4,0,5,5,9,5
Hernâni,26,FC Porto,PRT - Liga NOS,left,180,Portugal  Cape Verde,W,28,4,32,26,35,17,4,0,6,8,12,1,1382,49,2123,1178,2390,594,0,0,8,7,7,1
Vincent Aboubakar,26,FC Porto,PRT - Liga NOS,right,184,Cameroon,CF,30,36,22,42,38,36,3,16,9,18,19,26,1340,2952,1202,3066,2423,2588,2,8,4,3,4,6
Tiquinho Soares,27,FC Porto,PRT - Liga NOS,right,187,Brazil,CF,,,12,35,38,26,,,2,14,20,11,,,387,2738,3302,1115,,,0,2,4,6
Gonçalo Paciência,23,FC Porto,PRT - Liga NOS,right,184,Portugal,CF,0,19,20,30,16,29,0,5,10,4,1,10,0,1633,1411,1932,585,1925,0,0,3,3,0,7
Gelson Martins,22,Sporting CP,PRT - Liga NOS,right,173,Portugal  Cape Verde,W,,,42,42,44,38,,,6,7,7,11,,,2518,1793,3642,3048,,,10,4,13,10
Daniel Podence,22,Sporting CP,PRT - Liga NOS,right,165,Portugal,W,7,4,37,39,31,20,0,0,3,6,4,0,212,129,2195,2895,1882,1041,0,0,2,8,6,8
Bas Dost,28,Sporting CP,PRT - Liga NOS,right,196,Netherlands,CF,33,15,36,31,43,36,12,5,20,10,37,27,2360,723,2506,1965,3667,2867,3,1,7,2,7,4
Seydou Doumbia,30,Sporting CP,PRT - Liga NOS,both,179,Cote d'Ivoire,CF,9,27,34,25,34,26,4,20,13,11,21,8,383,2023,1834,1650,1903,1221,2,9,5,5,2,2
Franco Cervi,23,SL Benfica,PRT - Liga NOS,left,166,Argentina  Italy,W,,0,30,22,41,29,,0,5,2,7,4,,0,2139,1748,2472,2196,,0,6,5,7,10
Diogo Gonçalves,21,SL Benfica,PRT - Liga NOS,right,178,Portugal,W,,,18,42,40,15,,,3,13,10,0,,,859,2974,3553,798,,,1,5,11,2
Eduardo Salvio,27,SL Benfica,PRT - Liga NOS,right,173,Argentina,W,51,22,38,12,42,27,13,2,13,0,9,7,4044,1117,3148,362,2902,2064,11,4,11,0,10,5
Rafa Silva,24,SL Benfica,PRT - Liga NOS,right,171,Portugal,W,47,32,43,50,33,18,11,8,5,12,2,1,3701,2318,3359,3770,1805,965,0,3,6,8,6,3
Andrija Zivkovic,21,SL Benfica,PRT - Liga NOS,left,169,Serbia,W,1,25,40,27,24,22,0,5,7,12,1,3,25,1655,2550,2240,1583,1380,0,1,4,8,11,5
RaAsl JimAŠnez,26,SL Benfica,PRT - Liga NOS,right,190,Mexico,CF,42,20,32,45,32,35,14,11,5,12,11,5,3362,1675,1095,1715,1182,938,9,1,4,5,3,4
Jonas,33,SL Benfica,PRT - Liga NOS,right,182,Brazil  Italy,CF,49,40,35,48,28,37,19,11,31,36,18,34,3323,2583,2832,3852,1828,2881,6,1,8,18,6,6
Haris Seferovic,26,SL Benfica,PRT - Liga NOS,left,185,Switzerland  Bosnia-Herzegovina,CF,27,40,34,33,29,24,11,4,11,4,4,7,1968,1859,2987,2567,1405,1299,6,2,8,5,0,2
Ahmed Hassan,25,SC Braga,PRT - Liga NOS,right,191,Egypt,CF,25,36,35,46,23,33,10,6,15,15,4,6,1510,2470,2343,3432,1573,1753,0,2,2,8,5,2
Dyego Sousa,28,SC Braga,PRT - Liga NOS,right,190,Brazil,CF,22,30,23,36,21,20,4,7,6,12,8,9,1374,2448,1440,2449,1462,938,1,1,3,3,3,2
Raphinha,21,Vitória Guimarães SC,PRT - Liga NOS,left,176,Brazil  Italy,W,,,0,17,40,34,,,0,5,4,16,,,0,987,2200,2930,,,0,0,7,5
Héldon,29,Vitória Guimarães SC,PRT - Liga NOS,right,174,Cape Verde  South Africa,W,32,31,18,27,33,28,5,11,1,5,2,6,2034,2215,680,1828,2313,1885,0,5,1,4,6,9
Fábio Sturgeon,24,Vitória Guimarães SC,PRT - Liga NOS,both,183,Portugal  England,W,1,17,36,48,31,22,0,0,2,5,2,0,20,689,2320,3736,2006,1170,0,1,4,6,2,3
Hélder Ferreira,20,Vitória Guimarães SC,PRT - Liga NOS,left,179,Portugal,W,,,,5,39,24,,,,3,2,1,,,,158,2558,1063,,,,0,3,3
Welthon,25,VitAlria GuimarALes SC,PRT - Liga NOS,left,180,Brazil,CF,,9,,,33,18,,2,,,16,4,,580,,,2761,1184,,1,,,6,0
Junior Tallo,25,Vitória Guimarães SC,PRT - Liga NOS,right,185,Cote d'Ivoire,CF,17,23,17,27,11,19,3,7,4,1,1,2,802,1620,1036,1345,585,1534,0,1,0,4,0,5
Sebastián Rincón,24,Vitória Guimarães SC,PRT - Liga NOS,,185,Colombia,CF,1,,43,11,25,11,0,,8,2,2,3,44,,1889,750,1664,564,0,,5,3,2,0
Óscar Estupiñán,21,Vitória Guimarães SC,PRT - Liga NOS,left,182,Colombia,CF,,,6,6,,24,,,1,2,,7,,,359,356,,1547,,,1,0,,5
Rafael Martins,28,Vitória Guimarães SC,PRT - Liga NOS,right,177,Brazil,CF,,32,17,31,20,29,,15,1,20,3,5,,2510,629,2479,1177,1541,,1,0,1,1,2
Hélder Guedes,30,Rio Ave FC,PRT - Liga NOS,right,184,Portugal,CF,14,48,35,33,35,27,1,8,10,9,8,10,493,2227,1947,1869,2175,2231,0,0,1,3,2,4
Ricardo Valente,26,CS Marítimo,PRT - Liga NOS,right,181,Portugal,W,,35,38,34,32,33,,1,19,6,4,6,,1881,3000,2083,1831,2390,,1,1,3,0,3
Gevorg Ghazaryan,29,CS Marítimo,PRT - Liga NOS,both,180,Armenia,W,30,21,15,25,29,4,6,1,1,3,4,0,1897,1259,1033,1379,1951,82,3,1,2,3,3,0
Ibson,28,CS Marítimo,PRT - Liga NOS,left,179,Brazil,W,0,,25,35,36,23,0,,2,2,7,1,0,,1426,2624,3083,920,0,,0,0,4,3
Edgar Costa,30,CS Marítimo,PRT - Liga NOS,right,177,Portugal,W,8,19,36,36,31,25,0,6,5,6,2,2,321,1020,2452,2932,2372,1858,0,0,6,8,7,3
Rodrigo Pinho,26,CS Marítimo,PRT - Liga NOS,left,185,Brazil  Germany,CF,,,,16,21,30,,,,1,8,10,,,,653,670,2072,,,,0,0,2
Joel Tagueu,24,CS Marítimo,PRT - Liga NOS,left,178,Cameroon  Brazil,CF,,20,16,16,26,6,,8,1,2,3,1,,1584,525,621,1629,354,,1,0,0,0,0
Everton,24,CS Marítimo,PRT - Liga NOS,right,186,Brazil,CF,,,,,,25,,,,,,3,,,,,,1071,,,,,,2
André Claro,26,GD Estoril Praia,PRT - Liga NOS,right,183,Portugal,W,35,28,32,38,28,22,5,3,1,13,7,1,1320,1477,1829,3027,1767,1248,0,0,0,2,4,1
Matheus Índio,22,GD Estoril Praia,PRT - Liga NOS,left,179,Brazil,W,,,0,0,31,11,,,0,0,4,0,,,0,0,2085,467,,,0,0,2,0
Jorman Aguilar,23,GD Estoril Praia,PRT - Liga NOS,,181,Panama,W,,2,10,,41,15,,0,2,,11,0,,74,562,,3102,544,,0,1,,1,1
Allano Lima,22,GD Estoril Praia,PRT - Liga NOS,left,182,Brazil,W,,,16,21,10,22,,,0,1,1,5,,,915,1067,702,1477,,,0,0,5,1
Ewandro Costa,21,GD Estoril Praia,PRT - Liga NOS,left,174,Brazil,W,,5,17,9,7,7,,0,5,1,1,1,,105,664,565,234,371,,0,1,2,0,1
Victor Andrade,22,GD Estoril Praia,PRT - Liga NOS,right,177,Brazil,W,3,2,31,25,9,14,0,0,4,1,1,0,55,91,1696,1331,272,946,0,0,0,4,0,0
Kléber,27,GD Estoril Praia,PRT - Liga NOS,right,188,Brazil,CF,15,15,37,4,31,18,2,3,12,0,10,6,730,1232,2320,186,1968,1484,0,0,4,0,3,0
Bruno Gomes,21,GD Estoril Praia,PRT - Liga NOS,right,182,Brazil,CF,,0,0,16,28,13,,0,0,8,8,0,,0,0,1196,1201,479,,0,0,1,2,1
Jorginho,22,GD Chaves,PRT - Liga NOS,right,171,Portugal  Guinea-Bissau,W,,1,8,8,19,17,,0,2,0,6,1,,12,513,175,1259,677,,0,1,0,3,1
Davidson,27,GD Chaves,PRT - Liga NOS,right,177,Brazil,W,,,,39,45,26,,,,7,6,4,,,,2735,3028,1869,,,,1,6,6
Matheus Pereira,21,GD Chaves,PRT - Liga NOS,left,175,Brazil  Portugal,W,,4,11,30,23,22,,0,1,13,9,4,,89,629,1801,1649,1675,,1,3,6,7,3
Perdigão,26,GD Chaves,PRT - Liga NOS,right,185,Brazil,W,6,1,35,29,37,16,0,0,1,5,6,0,300,120,2030,1978,2721,532,0,0,2,4,4,0
William,26,GD Chaves,PRT - Liga NOS,right,182,Brazil,CF,14,34,41,33,28,20,4,8,8,9,4,9,848,2851,2283,2242,1716,1539,3,7,1,5,2,1
Platiny,27,GD Chaves,PRT - Liga NOS,right,178,Brazil,CF,29,17,40,46,28,16,10,1,11,17,7,4,1470,718,2170,3711,1574,913,0,0,1,6,1,1
